T.scale,Repro,Metric,Intercept,Est,Std.Err,P.base,P.fdr
RSF,nest,cc.60,-0.2979721767707784,-0.4845839637524246,0.5924411473877542,0.4133888927068346,0.6906877777474627
RSF,nest,cc.60.sq,-0.30214927605859176,-0.4680422160042681,0.5845540198989573,0.4233154345878511,0.6906877777474627
RSF,nest,ch.30,-0.28930386491247423,-0.16114448585979962,0.5615611295497199,0.7741444423221745,0.8309725138161834
RSF,nest,ch.30.sq,-0.303565317698553,-0.4245120177617107,0.6120474732580496,0.48793730585519157,0.6906877777474627
RSF,nest,lfd.500,-0.2888337247488136,0.1219806802899566,0.5714600007849243,0.8309725138161834,0.8309725138161834
RSF,nest,s10z.120,-0.29678669825064014,0.34642102445880785,0.583256324395371,0.5525502221979701,0.6906877777474627
RSF,nest,sci.30,-0.29505105932672493,-0.3608754702404639,0.5857367799581155,0.5378250967638363,0.6906877777474627
RSF,nest,sdq.60,-0.3065048074027274,0.4964517512621192,0.5990532151027282,0.40725873630842724,0.6906877777474627
RSF,nest,sf.60,-0.3516424682723895,1.1509100727899186,0.7592084505655267,0.12953598554476123,0.6906877777474627
RSF,nest,sq.60,-0.2956644258942507,0.34263113550125973,0.5748627423854636,0.5511601880989581,0.6906877777474627
